county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Apache County,vap_white,pre_16_rep_tru,0.875561188240508,0.018746782023217574,0.8381722361212806,0.9102436352711429
Apache County,vap_white,pre_16_dem_cli,0.12443881175949191,0.01874678202321757,0.08975636472885705,0.16182776387871944
Apache County,vap_black,pre_16_rep_tru,0.5489154964677048,0.18364368580818874,0.20619201771079604,0.8846609838423458
Apache County,vap_black,pre_16_dem_cli,0.4510845035322953,0.18364368580818874,0.1153390161576542,0.7938079822892039
Apache County,vap_hisp,pre_16_rep_tru,0.7237376070106297,0.08770404435796623,0.5556927749291799,0.8922606594935815
Apache County,vap_hisp,pre_16_dem_cli,0.27626239298937033,0.08770404435796623,0.10773934050641859,0.44430722507082
Apache County,vap_oth,pre_16_rep_tru,0.09756301279210818,0.0037219121687668087,0.09041715106286624,0.10498139668303016
Apache County,vap_oth,pre_16_dem_cli,0.9024369872078919,0.0037219121687668082,0.8950186033169698,0.9095828489371338
Apache County,vap_white,uss_16_rep_mcc,0.8400157629437149,0.02601027517594467,0.7878760962011442,0.8867589998790746
Apache County,vap_white,uss_16_dem_kir,0.15998423705628503,0.02601027517594467,0.11324100012092546,0.21212390379885576
Apache County,vap_black,uss_16_rep_mcc,0.5230880431202221,0.18735900119387602,0.12058500809270416,0.8351859338817297
Apache County,vap_black,uss_16_dem_kir,0.47691195687977794,0.18735900119387602,0.1648140661182704,0.8794149919072959
Apache County,vap_hisp,uss_16_rep_mcc,0.6208296843676198,0.12633971496151808,0.39218056398708817,0.8749646679106402
Apache County,vap_hisp,uss_16_dem_kir,0.3791703156323803,0.12633971496151808,0.12503533208935988,0.6078194360129119
Apache County,vap_oth,uss_16_rep_mcc,0.12496719564888689,0.003998789003196589,0.11727212415983138,0.13289663429931928
Apache County,vap_oth,uss_16_dem_kir,0.8750328043511131,0.003998789003196589,0.8671033657006807,0.8827278758401685
Apache County,vap_white,uss_18_rep_mcs,0.8279438018488565,0.025948121766700104,0.7785146111059957,0.87676574373732
Apache County,vap_white,uss_18_dem_sin,0.17205619815114345,0.025948121766700104,0.12323425626267995,0.2214853888940042
Apache County,vap_black,uss_18_rep_mcs,0.521529020563667,0.1691606655223778,0.1872917624742186,0.8328194704275576
Apache County,vap_black,uss_18_dem_sin,0.478470979436333,0.1691606655223778,0.16718052957244237,0.812708237525781
Apache County,vap_hisp,uss_18_rep_mcs,0.6043475528956862,0.12397080918649027,0.3701664820142292,0.839113738571566
Apache County,vap_hisp,uss_18_dem_sin,0.39565244710431385,0.12397080918649027,0.16088626142843387,0.6298335179857707
Apache County,vap_oth,uss_18_rep_mcs,0.12748297466890599,0.004305261716833413,0.1192220765702529,0.13624790349777977
Apache County,vap_oth,uss_18_dem_sin,0.872517025331094,0.004305261716833414,0.8637520965022203,0.8807779234297471
Apache County,vap_white,gov_18_rep_duc,0.8967673690536626,0.019415850036754088,0.8559764856064691,0.9315929792651685
Apache County,vap_white,gov_18_dem_gar,0.10323263094633732,0.019415850036754088,0.06840702073483139,0.1440235143935308
Apache County,vap_black,gov_18_rep_duc,0.609244873944015,0.2012284641538725,0.22857004770961162,0.9439539020341408
Apache County,vap_black,gov_18_dem_gar,0.39075512605598495,0.2012284641538725,0.0560460979658592,0.7714299522903884
Apache County,vap_hisp,gov_18_rep_duc,0.7041815516303129,0.09258303404506188,0.5352312445614975,0.9000412653681837
Apache County,vap_hisp,gov_18_dem_gar,0.2958184483696871,0.09258303404506188,0.0999587346318162,0.4647687554385025
Apache County,vap_oth,gov_18_rep_duc,0.17384169975002284,0.0046093701151279,0.1649129994102703,0.1829397999473413
Apache County,vap_oth,gov_18_dem_gar,0.8261583002499772,0.0046093701151279,0.8170602000526588,0.8350870005897297
Apache County,vap_white,atg_18_rep_brn,0.8650942028401981,0.023256344876334486,0.821119111283406,0.9093822423422396
Apache County,vap_white,atg_18_dem_con,0.1349057971598018,0.023256344876334486,0.09061775765776016,0.17888088871659386
Apache County,vap_black,atg_18_rep_brn,0.5312451438721404,0.1744692554500895,0.19100170946365433,0.8351631969467628
