county,race,cand,mean,sd,ci_95_lower,ci_95_upper
001,vap_white,pre_24_dem_har,0.30587315290541944,0.019311190799225702,0.2722838474462287,0.3471002283175631
001,vap_white,pre_24_rep_tru,0.6941268470945805,0.019311190799225702,0.6528997716824368,0.7277161525537713
001,vap_black,pre_24_dem_har,0.8536722952992302,0.05666607725404531,0.7175244424117835,0.9360018951340874
001,vap_black,pre_24_rep_tru,0.1463277047007698,0.05666607725404531,0.06399810486591256,0.2824755575882164
001,vap_hisp,pre_24_dem_har,0.7769409684444756,0.07990488836647147,0.610492901982564,0.9058625319918648
001,vap_hisp,pre_24_rep_tru,0.2230590315555243,0.07990488836647147,0.09413746800813497,0.38950709801743577
001,vap_asian,pre_24_dem_har,0.5433244331039367,0.16311338107292456,0.2160851790721732,0.8370037803618308
001,vap_asian,pre_24_rep_tru,0.45667556689606315,0.16311338107292456,0.16299621963816918,0.7839148209278267
001,vap_aian,pre_24_dem_har,0.5066805123567221,0.16333689286911554,0.19907951968024126,0.8099278011553355
001,vap_aian,pre_24_rep_tru,0.49331948764327793,0.16333689286911554,0.19007219884466456,0.8009204803197586
001,vap_oth_b,pre_24_dem_har,0.5376023752793622,0.15785405561717944,0.23874161182562514,0.8307257829703155
001,vap_oth_b,pre_24_rep_tru,0.46239762472063783,0.15785405561717944,0.1692742170296844,0.7612583881743749
003,vap_white,pre_24_dem_har,0.14467444047840078,0.014050659612907163,0.11848900958623217,0.1726674596293654
003,vap_white,pre_24_rep_tru,0.8553255595215994,0.014050659612907163,0.8273325403706348,0.8815109904137679
003,vap_black,pre_24_dem_har,0.5253471574590128,0.17929272468737217,0.17332268419950678,0.8548663079259902
003,vap_black,pre_24_rep_tru,0.47465284254098716,0.17929272468737217,0.14513369207400964,0.8266773158004932
003,vap_hisp,pre_24_dem_har,0.5318058359220628,0.18188557388334262,0.17270685583967993,0.8692888279699765
003,vap_hisp,pre_24_rep_tru,0.46819416407793724,0.18188557388334262,0.13071117203002358,0.8272931441603201
003,vap_asian,pre_24_dem_har,0.5211000059011457,0.17788671907345147,0.1676913738380203,0.8460441238829445
003,vap_asian,pre_24_rep_tru,0.47889999409885436,0.17788671907345147,0.15395587611705552,0.8323086261619796
003,vap_aian,pre_24_dem_har,0.5070353687389834,0.18574275645686533,0.1640700952053547,0.8533179258038421
003,vap_aian,pre_24_rep_tru,0.4929646312610167,0.18574275645686533,0.1466820741961577,0.8359299047946452
003,vap_oth_b,pre_24_dem_har,0.5173524437779748,0.1827561958846881,0.1628817217468396,0.8493460080365675
003,vap_oth_b,pre_24_rep_tru,0.4826475562220251,0.1827561958846881,0.1506539919634323,0.8371182782531602
005,vap_white,pre_24_dem_har,0.19875020338723492,0.02146480795631983,0.1572538419571754,0.23943371960689738
005,vap_white,pre_24_rep_tru,0.8012497966127651,0.02146480795631983,0.7605662803931027,0.8427461580428246
005,vap_black,pre_24_dem_har,0.5113532523816466,0.20920154424918638,0.11617206885908177,0.8974171591700609
005,vap_black,pre_24_rep_tru,0.48864674761835336,0.20920154424918638,0.1025828408299392,0.8838279311409182
005,vap_hisp,pre_24_dem_har,0.5001968843719768,0.1993718783744622,0.12549624534742726,0.8805641577008686
005,vap_hisp,pre_24_rep_tru,0.49980311562802315,0.1993718783744622,0.11943584229913141,0.8745037546525727
