county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Alameda County,vap_white,pre_16_dem_cli,0.8108358729283918,0.011226921323092573,0.7871426392744364,0.8317072956127721
Alameda County,vap_white,pre_16_rep_tru,0.18916412707160818,0.011226921323092573,0.1682927043872279,0.2128573607255636
Alameda County,vap_black,pre_16_dem_cli,0.9725189789918238,0.0045054267964764975,0.9619769343150105,0.9802824336537919
Alameda County,vap_black,pre_16_rep_tru,0.02748102100817611,0.0045054267964764975,0.019717566346208158,0.03802306568498952
Alameda County,vap_hisp,pre_16_dem_cli,0.951247476689452,0.0077763689726730164,0.9343918022238696,0.9656031898627869
Alameda County,vap_hisp,pre_16_rep_tru,0.04875252331054804,0.0077763689726730164,0.034396810137213074,0.06560819777613033
Alameda County,vap_oth,pre_16_dem_cli,0.8019683645231585,0.010200452730537202,0.7820861911215755,0.8231770464348951
Alameda County,vap_oth,pre_16_rep_tru,0.19803163547684155,0.010200452730537202,0.17682295356510483,0.2179138088784245
Alpine County,vap_white,pre_20_dem_bid,0.8586018923506485,0.01169394882172202,0.8356884606202565,0.8792760967970404
Alpine County,vap_white,pre_20_rep_tru,0.14139810764935143,0.01169394882172202,0.12072390320295938,0.16431153937974347
Alpine County,vap_black,pre_20_dem_bid,0.9683909696928836,0.006534542779334111,0.9553552305257736,0.979887567692702
Alpine County,vap_black,pre_20_rep_tru,0.03160903030711632,0.006534542779334113,0.02011243230729807,0.04464476947422618
Alpine County,vap_hisp,pre_20_dem_bid,0.8754993779346739,0.014375391972157902,0.8488237175762366,0.9039361631262214
Alpine County,vap_hisp,pre_20_rep_tru,0.1245006220653261,0.014375391972157902,0.09606383687377863,0.1511762824237633
Alpine County,vap_oth,pre_20_dem_bid,0.7405090598856613,0.01178369538410858,0.7179427678673883,0.7642971003023729
Alpine County,vap_oth,pre_20_rep_tru,0.2594909401143387,0.01178369538410858,0.23570289969762712,0.2820572321326116
Calaveras County,vap_white,pre_16_dem_cli,0.3397065028201784,0.03258497642345761,0.2765370860175369,0.39975084610791894
Calaveras County,vap_white,pre_16_rep_tru,0.6602934971798216,0.03258497642345761,0.6002491538920811,0.7234629139824631
Calaveras County,vap_black,pre_16_dem_cli,0.42971304612985467,0.21952564106677347,0.06727143697496787,0.862992548748955
Calaveras County,vap_black,pre_16_rep_tru,0.5702869538701454,0.21952564106677347,0.13700745125104494,0.9327285630250318
Calaveras County,vap_hisp,pre_16_dem_cli,0.4383370110016791,0.16487839554144185,0.13458164932876499,0.7645868644208071
Calaveras County,vap_hisp,pre_16_rep_tru,0.5616629889983209,0.16487839554144185,0.23541313557919294,0.8654183506712348
Calaveras County,vap_oth,pre_16_dem_cli,0.4905919183094888,0.18434999393494594,0.15848119620026258,0.8372723488796862
Calaveras County,vap_oth,pre_16_rep_tru,0.5094080816905111,0.18434999393494594,0.16272765112031382,0.8415188037997372
Colusa County,vap_white,pre_20_dem_bid,0.3515753999387628,0.0320994434281858,0.2906848769679559,0.414843211218362
Colusa County,vap_white,pre_20_rep_tru,0.6484246000612371,0.0320994434281858,0.585156788781638,0.7093151230320441
Colusa County,vap_black,pre_20_dem_bid,0.4218146429806954,0.22446644359207443,0.06527929432819932,0.8719146553583657
Colusa County,vap_black,pre_20_rep_tru,0.5781853570193046,0.22446644359207443,0.12808534464163424,0.9347207056718008
Colusa County,vap_hisp,pre_20_dem_bid,0.4271331855928008,0.17020418351135072,0.12496386789153255,0.763233043469641
Colusa County,vap_hisp,pre_20_rep_tru,0.5728668144071992,0.17020418351135072,0.23676695653035879,0.8750361321084673
Colusa County,vap_oth,pre_20_dem_bid,0.516839930881369,0.18238929222262296,0.16615246889626092,0.8619488600183484
