county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Appling County,vap_white,pre_16_rep_tru,0.95281740508321,0.01809219747021036,0.9136246351857049,0.9832579628924961
Appling County,vap_white,pre_16_dem_cli,0.04718259491679005,0.01809219747021036,0.01674203710750384,0.08637536481429511
Appling County,vap_black,pre_16_rep_tru,0.2625875682947531,0.11557275124628855,0.07977896470540771,0.5268232243549495
Appling County,vap_black,pre_16_dem_cli,0.7374124317052468,0.11557275124628855,0.4731767756450504,0.9202210352945923
Appling County,vap_hisp,pre_16_rep_tru,0.649564092431523,0.13231340460218374,0.37681146163003454,0.8943664821945511
Appling County,vap_hisp,pre_16_dem_cli,0.350435907568477,0.13231340460218374,0.10563351780544895,0.6231885383699654
Appling County,vap_oth,pre_16_rep_tru,0.514777464643592,0.18096948333346063,0.1571767761530567,0.8463130298155614
Appling County,vap_oth,pre_16_dem_cli,0.48522253535640797,0.18096948333346063,0.1536869701844385,0.8428232238469433
Atkinson County,vap_white,uss_16_rep_isa,0.9595928085781231,0.019132118010472873,0.9132234673697025,0.9874745981853583
Atkinson County,vap_white,uss_16_dem_bar,0.04040719142187697,0.019132118010472873,0.012525401814641818,0.08677653263029755
Atkinson County,vap_black,uss_16_rep_isa,0.30018193540768673,0.1145464906759269,0.11624466723520305,0.5767947235475793
Atkinson County,vap_black,uss_16_dem_bar,0.6998180645923132,0.1145464906759269,0.42320527645242045,0.883755332764797
Atkinson County,vap_hisp,uss_16_rep_isa,0.6672728046327485,0.12012098944779184,0.4323490514715294,0.8901189644047061
Atkinson County,vap_hisp,uss_16_dem_bar,0.3327271953672514,0.12012098944779184,0.10988103559529402,0.5676509485284705
Atkinson County,vap_oth,uss_16_rep_isa,0.547986661210878,0.17122010798834117,0.21097719405124538,0.8602933296631061
Atkinson County,vap_oth,uss_16_dem_bar,0.452013338789122,0.17122010798834117,0.1397066703368937,0.7890228059487546
Bacon County,vap_white,gov_18_rep_kem,0.9592698945699603,0.015345914225933491,0.9247792115703161,0.98493475552037
Bacon County,vap_white,gov_18_dem_abr,0.04073010543003985,0.015345914225933491,0.01506524447963005,0.07522078842968392
Bacon County,vap_black,gov_18_rep_kem,0.26726194738249975,0.09810628704923549,0.10049094148871449,0.4790980386020442
Bacon County,vap_black,gov_18_dem_abr,0.7327380526175002,0.09810628704923549,0.5209019613979557,0.8995090585112853
Bacon County,vap_hisp,gov_18_rep_kem,0.660724024108522,0.12785021159094176,0.3947855448358719,0.885602331598011
Bacon County,vap_hisp,gov_18_dem_abr,0.339275975891478,0.12785021159094176,0.11439766840198881,0.6052144551641281
Bacon County,vap_oth,gov_18_rep_kem,0.5439025557766209,0.1716604360583861,0.20920779076134405,0.8657555329172876
Bacon County,vap_oth,gov_18_dem_abr,0.45609744422337906,0.1716604360583861,0.13424446708271223,0.7907922092386557
Baker County,vap_white,atg_18_rep_car,0.9492698450350462,0.018563397668862305,0.9074998617950493,0.9798420675865797
Baker County,vap_white,atg_18_dem_bai,0.05073015496495387,0.018563397668862305,0.020157932413420336,0.0925001382049508
Baker County,vap_black,atg_18_rep_car,0.26549514554054393,0.11599929281911811,0.08371969099880602,0.5298481650524556
Baker County,vap_black,atg_18_dem_bai,0.734504854459456,0.11599929281911811,0.4701518349475444,0.9162803090011937
Baker County,vap_hisp,atg_18_rep_car,0.5949522004078961,0.13570359092335157,0.33418290276021956,0.8533368875588769
Baker County,vap_hisp,atg_18_dem_bai,0.40504779959210396,0.13570359092335157,0.14666311244112304,0.6658170972397804
Baker County,vap_oth,atg_18_rep_car,0.5080139332490347,0.1778125902943963,0.1695202898525605,0.8338830626570846
Baker County,vap_oth,atg_18_dem_bai,0.4919860667509653,0.1778125902943963,0.1661169373429154,0.8304797101474394
Baldwin County,vap_white,sos_18_rep_raf,0.8943953801575828,0.02469864517389587,0.8431491697455058,0.9380677978330397
Baldwin County,vap_white,sos_18_dem_bar,0.10560461984241724,0.02469864517389587,0.061932202166960264,0.15685083025449437
Baldwin County,vap_black,sos_18_rep_raf,0.2268563262684393,0.11545546261777002,0.0505693822880279,0.4822848626617616
Baldwin County,vap_black,sos_18_dem_bar,0.7731436737315607,0.11545546261777002,0.5177151373382385,0.949430617711972
Baldwin County,vap_hisp,sos_18_rep_raf,0.44662009364980226,0.163470287467022,0.15287265525048152,0.7871776580517703
Baldwin County,vap_hisp,sos_18_dem_bar,0.5533799063501977,0.163470287467022,0.21282234194822966,0.8471273447495185
Baldwin County,vap_oth,sos_18_rep_raf,0.4749318727714088,0.18071599786758888,0.1398802562180928,0.8187650104164926
Baldwin County,vap_oth,sos_18_dem_bar,0.5250681272285912,0.18071599786758888,0.18123498958350726,0.8601197437819071
