county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Ada County,vap_white,pre_16_rep_tru,0.5659680719843072,0.016688720691665444,0.5371761743843778,0.6007330498625891
Ada County,vap_white,pre_16_dem_cli,0.43403192801569274,0.016688720691665444,0.3992669501374107,0.4628238256156221
Ada County,vap_black,pre_16_rep_tru,0.43861641967996723,0.1564185205392788,0.18111494710780693,0.7818277654193589
Ada County,vap_black,pre_16_dem_cli,0.5613835803200327,0.1564185205392788,0.21817223458064094,0.8188850528921929
Ada County,vap_hisp,pre_16_rep_tru,0.607835254693891,0.1246206387210664,0.3065214443282994,0.8250849641629359
Ada County,vap_hisp,pre_16_dem_cli,0.39216474530610895,0.1246206387210664,0.17491503583706408,0.6934785556717002
Ada County,vap_oth,pre_16_rep_tru,0.31462774241224234,0.1226837010869975,0.11408779744010529,0.5888787575920091
Ada County,vap_oth,pre_16_dem_cli,0.6853722575877578,0.1226837010869975,0.4111212424079908,0.8859122025598947
Adams County,vap_white,uss_16_rep_cra,0.620424744238157,0.021050154253892117,0.5773572876076364,0.6543843024259178
Adams County,vap_white,uss_16_dem_stu,0.37957525576184303,0.021050154253892117,0.34561569757408217,0.42264271239236356
Adams County,vap_black,uss_16_rep_cra,0.4655624740131932,0.14248410560885486,0.20139550019083213,0.7460285850033702
Adams County,vap_black,uss_16_dem_stu,0.5344375259868068,0.14248410560885486,0.25397141499662973,0.7986044998091677
Adams County,vap_hisp,uss_16_rep_cra,0.507218308666544,0.14830479810005154,0.25150246167048035,0.8104512943064873
Adams County,vap_hisp,uss_16_dem_stu,0.4927816913334559,0.14830479810005154,0.1895487056935125,0.7484975383295195
Adams County,vap_oth,uss_16_rep_cra,0.29968954306951745,0.1413470485879296,0.10196493050929104,0.6427200316330175
Adams County,vap_oth,uss_16_dem_stu,0.7003104569304827,0.1413470485879296,0.3572799683669824,0.898035069490709
Bannock County,vap_white,gov_18_rep_lit,0.5088323204056849,0.01689034371120954,0.47863726765167885,0.5478779001278388
Bannock County,vap_white,gov_18_dem_jor,0.491167679594315,0.01689034371120954,0.45212209987216123,0.521362732348321
Bannock County,vap_black,gov_18_rep_lit,0.35649362381894567,0.12684078759864031,0.14606809620502179,0.6220877724849745
Bannock County,vap_black,gov_18_dem_jor,0.6435063761810542,0.12684078759864031,0.3779122275150254,0.8539319037949781
Bannock County,vap_hisp,gov_18_rep_lit,0.4750931501314298,0.13700727198913237,0.20377032432723038,0.7247899888148724
Bannock County,vap_hisp,gov_18_dem_jor,0.5249068498685702,0.13700727198913237,0.27521001118512745,0.7962296756727694
Bannock County,vap_oth,gov_18_rep_lit,0.31910316666160027,0.11523177858714742,0.12481365400330616,0.553217002565467
Bannock County,vap_oth,gov_18_dem_jor,0.6808968333383998,0.11523177858714742,0.4467829974345329,0.8751863459966939
Bear Lake County,vap_white,atg_18_rep_was,0.5708198410888091,0.02083391858161783,0.5284269431925125,0.6065403452088749
Bear Lake County,vap_white,atg_18_dem_bis,0.4291801589111909,0.02083391858161783,0.393459654791125,0.4715730568074875
Bear Lake County,vap_black,atg_18_rep_was,0.39862011660290536,0.13697037042316243,0.17685361878024222,0.6950211201717533
Bear Lake County,vap_black,atg_18_dem_bis,0.6013798833970946,0.13697037042316243,0.30497887982824673,0.8231463812197577
Bear Lake County,vap_hisp,atg_18_rep_was,0.5462626327515515,0.14700078442733178,0.27024693743828204,0.8144189568049511
Bear Lake County,vap_hisp,atg_18_dem_bis,0.4537373672484484,0.14700078442733178,0.18558104319504867,0.7297530625617179
Bear Lake County,vap_oth,atg_18_rep_was,0.3714617535260333,0.14690485303994724,0.1314467402431649,0.6395032681358487
Bear Lake County,vap_oth,atg_18_dem_bis,0.6285382464739667,0.14690485303994724,0.3604967318641512,0.8685532597568351
Benewah County,vap_white,sos_18_rep_den,0.5247439953528776,0.01995168362091114,0.48310811125009534,0.5595730336388907
Benewah County,vap_white,sos_18_dem_hum,0.4752560046471223,0.019951683620911136,0.44042696636110934,0.5168918887499045
Benewah County,vap_black,sos_18_rep_den,0.4175162579426121,0.14428336753213228,0.16317344808659726,0.7332019242222504
Benewah County,vap_black,sos_18_dem_hum,0.5824837420573878,0.14428336753213228,0.26679807577774955,0.8368265519134027
Benewah County,vap_hisp,sos_18_rep_den,0.49505169847837227,0.15465164915721372,0.16756207206154464,0.7698936286561305
Benewah County,vap_hisp,sos_18_dem_hum,0.5049483015216276,0.15465164915721372,0.2301063713438693,0.8324379279384551
Benewah County,vap_oth,sos_18_rep_den,0.36257500615082816,0.13707426143765267,0.1486780055160904,0.6516443140766413
Benewah County,vap_oth,sos_18_dem_hum,0.6374249938491718,0.13707426143765267,0.34835568592335875,0.8513219944839098
Bingham County,vap_white,pre_20_rep_tru,0.5210587982094822,0.013827437460462532,0.49513028814025734,0.5455566856316119
Bingham County,vap_white,pre_20_dem_bid,0.4789412017905177,0.013827437460462532,0.4544433143683881,0.5048697118597426
Bingham County,vap_black,pre_20_rep_tru,0.4491579126648812,0.1642366428757998,0.14668048544301332,0.7500232580251915
Bingham County,vap_black,pre_20_dem_bid,0.5508420873351187,0.1642366428757998,0.24997674197480824,0.8533195145569864
Bingham County,vap_hisp,pre_20_rep_tru,0.5226516596586025,0.14314819558145828,0.23664835824065206,0.8008863633587422
Bingham County,vap_hisp,pre_20_dem_bid,0.47734834034139745,0.14314819558145828,0.19911363664125764,0.7633516417593479
Bingham County,vap_oth,pre_20_rep_tru,0.2941763467373186,0.125603130445684,0.1186957621804131,0.6119137031789059
Bingham County,vap_oth,pre_20_dem_bid,0.7058236532626815,0.125603130445684,0.38808629682109413,0.8813042378195869
Blaine County,vap_white,uss_20_rep_ris,0.513799807050621,0.019003434225179933,0.4773583354733054,0.5536398576899327
Blaine County,vap_white,uss_20_dem_jor,0.48620019294937894,0.019003434225179933,0.44636014231006715,0.5226416645266946
Blaine County,vap_black,uss_20_rep_ris,0.4226595711995885,0.15106469863731598,0.15110100626628908,0.7235751173900662
Blaine County,vap_black,uss_20_dem_jor,0.5773404288004114,0.15106469863731598,0.2764248826099337,0.8488989937337108
Blaine County,vap_hisp,uss_20_rep_ris,0.5520235023701926,0.14547320615316092,0.24403859287618473,0.7929371012199665
Blaine County,vap_hisp,uss_20_dem_jor,0.44797649762980735,0.14547320615316092,0.2070628987800333,0.7559614071238151
Blaine County,vap_oth,uss_20_rep_ris,0.3829480349757396,0.13988424362605315,0.14426768700378248,0.6995395593870634
Blaine County,vap_oth,uss_20_dem_jor,0.6170519650242604,0.13988424362605312,0.3004604406129365,0.8557323129962175
Boise County,vap_white,pre_16_rep_tru,0.8376056653617702,0.017995520631231884,0.8022768112091152,0.8716260072327952
Boise County,vap_white,pre_16_dem_cli,0.16239433463822983,0.017995520631231884,0.1283739927672047,0.19772318879088482
Boise County,vap_black,pre_16_rep_tru,0.49239508915340324,0.22278660776850512,0.09395216142570105,0.9097090767160348
Boise County,vap_black,pre_16_dem_cli,0.5076049108465968,0.22278660776850512,0.09029092328396497,0.9060478385742988
Boise County,vap_hisp,pre_16_rep_tru,0.4915202351517606,0.19211433097342506,0.13124760768473806,0.8543194913807322
Boise County,vap_hisp,pre_16_dem_cli,0.5084797648482394,0.19211433097342506,0.14568050861926785,0.8687523923152617
Boise County,vap_oth,pre_16_rep_tru,0.48840705988064703,0.20535632669763534,0.0981528597640236,0.8926666238039491
Boise County,vap_oth,pre_16_dem_cli,0.5115929401193529,0.20535632669763532,0.1073333761960507,0.9018471402359761
Bonner County,vap_white,uss_16_rep_cra,0.8012731330016968,0.0173187061321782,0.7662360124426395,0.8338300008486516
Bonner County,vap_white,uss_16_dem_stu,0.19872686699830314,0.0173187061321782,0.1661699991513483,0.23376398755736044
Bonner County,vap_black,uss_16_rep_cra,0.4881927678723904,0.22394967988856404,0.08247610538554348,0.9095899270945685
Bonner County,vap_black,uss_16_dem_stu,0.5118072321276096,0.22394967988856404,0.09041007290543142,0.9175238946144565
Bonner County,vap_hisp,uss_16_rep_cra,0.4845649640957829,0.1900389729670018,0.13660607233050054,0.85185246987663
Bonner County,vap_hisp,uss_16_dem_stu,0.515435035904217,0.1900389729670018,0.1481475301233699,0.8633939276694993
Bonner County,vap_oth,uss_16_rep_cra,0.5099378215227384,0.1802080786808139,0.1625080757820165,0.8441639038476657
Bonner County,vap_oth,uss_16_dem_stu,0.4900621784772616,0.1802080786808139,0.1558360961523342,0.8374919242179832
Bonneville County,vap_white,gov_18_rep_lit,0.7461293004904558,0.019125143696037215,0.7077512105788399,0.782219590987458
Bonneville County,vap_white,gov_18_dem_jor,0.25387069950954416,0.019125143696037215,0.21778040901254186,0.29224878942116
Bonneville County,vap_black,gov_18_rep_lit,0.5065254183812463,0.2194685293510492,0.1066495754974881,0.9008193362804605
Bonneville County,vap_black,gov_18_dem_jor,0.4934745816187537,0.2194685293510492,0.09918066371953954,0.8933504245025118
Bonneville County,vap_hisp,gov_18_rep_lit,0.4832034799677431,0.19435706269430703,0.12114395857765729,0.8527917668294541
Bonneville County,vap_hisp,gov_18_dem_jor,0.5167965200322568,0.19435706269430703,0.1472082331705457,0.8788560414223425
