county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Aitkin County,vap_white,pre_16_rep_tru,0.6609661260228439,0.011016212149713763,0.6391899078535929,0.6822362750239528
Aitkin County,vap_white,pre_16_dem_cli,0.339033873977156,0.011016212149713763,0.31776372497604716,0.36081009214640714
Aitkin County,vap_black,pre_16_rep_tru,0.5193264135938093,0.19250411117510616,0.1575429466943747,0.8634700881840949
Aitkin County,vap_black,pre_16_dem_cli,0.4806735864061907,0.19250411117510616,0.13652991181590496,0.842457053305625
Aitkin County,vap_hisp,pre_16_rep_tru,0.4859525306609805,0.17136965295254977,0.16362122181646777,0.8103691353741106
Aitkin County,vap_hisp,pre_16_dem_cli,0.5140474693390195,0.1713696529525498,0.18963086462588943,0.8363787781835322
Aitkin County,vap_oth,pre_16_rep_tru,0.4222238175872281,0.12448342635691426,0.20406050958178668,0.684828671482255
Aitkin County,vap_oth,pre_16_dem_cli,0.577776182412772,0.12448342635691426,0.315171328517745,0.7959394904182132
Anoka County,vap_white,uss_18_rep_new,0.508840855607388,0.012072839565870633,0.4846424727059699,0.5314802556734025
Anoka County,vap_white,uss_18_dem_klo,0.491159144392612,0.012072839565870633,0.4685197443265973,0.51535752729403
Anoka County,vap_black,uss_18_rep_new,0.5132379120767477,0.18251003062819063,0.16575817521854344,0.8574475457225188
Anoka County,vap_black,uss_18_dem_klo,0.4867620879232522,0.18251003062819063,0.14255245427748103,0.8342418247814566
Anoka County,vap_hisp,uss_18_rep_new,0.48624644982018445,0.16865646050509478,0.15756109446475275,0.7851580418328994
Anoka County,vap_hisp,uss_18_dem_klo,0.5137535501798155,0.16865646050509478,0.21484195816710053,0.8424389055352471
Anoka County,vap_oth,uss_18_rep_new,0.36468759667777356,0.13369073714910812,0.1331298741346599,0.6377172596521256
Anoka County,vap_oth,uss_18_dem_klo,0.6353124033222264,0.13369073714910812,0.3622827403478744,0.8668701258653401
Becker County,vap_white,gov_18_rep_joh,0.5896563123118265,0.012267513883898917,0.5656121814697738,0.6135882194021502
