county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Adams County,vap_white,pre_16_rep_tru,0.9023962298356276,0.030807864948083668,0.8310022610542601,0.9487941776007537
Adams County,vap_white,pre_16_dem_cli,0.09760377016437234,0.030807864948083668,0.051205822399246315,0.16899773894574
Adams County,vap_black,pre_16_rep_tru,0.07363377855357178,0.02262468389089622,0.03881507692321422,0.12641461997074088
Adams County,vap_black,pre_16_dem_cli,0.9263662214464282,0.02262468389089622,0.8735853800292592,0.9611849230767858
Adams County,vap_hisp,pre_16_rep_tru,0.7394455251121584,0.13345988253814145,0.41514089848655245,0.930283244192687
Adams County,vap_hisp,pre_16_dem_cli,0.2605544748878415,0.13345988253814145,0.06971675580731294,0.5848591015134474
Adams County,vap_oth,pre_16_rep_tru,0.42044597492312324,0.15715673683589282,0.12736474185604224,0.7418531089002685
Adams County,vap_oth,pre_16_dem_cli,0.5795540250768767,0.15715673683589282,0.2581468910997314,0.8726352581439575
Alcorn County,vap_white,uss_18_rep_wic,0.926022543763127,0.023624823072681614,0.8703532273093196,0.9624485990338169
Alcorn County,vap_white,uss_18_dem_bar,0.07397745623687305,0.023624823072681614,0.0375514009661831,0.1296467726906804
Alcorn County,vap_black,uss_18_rep_wic,0.04151874724618733,0.016169498665874846,0.01670329478790724,0.07835799144566016
Alcorn County,vap_black,uss_18_dem_bar,0.9584812527538127,0.016169498665874846,0.92164200855434,0.9832967052120928
Alcorn County,vap_hisp,uss_18_rep_wic,0.6859908634227413,0.13886461451343582,0.35452190824710744,0.9055883674398442
Alcorn County,vap_hisp,uss_18_dem_bar,0.3140091365772587,0.13886461451343582,0.09441163256015585,0.6454780917528924
Alcorn County,vap_oth,uss_18_rep_wic,0.44727906029024306,0.16183952869212467,0.1556022715834448,0.7717949470099456
Alcorn County,vap_oth,uss_18_dem_bar,0.5527209397097569,0.16183952869212467,0.22820505299005428,0.844397728416555
Amite County,vap_white,pre_20_rep_tru,0.9389080177200856,0.01823812166918158,0.894738431336657,0.966956619510963
Amite County,vap_white,pre_20_dem_bid,0.06109198227991444,0.01823812166918158,0.03304338048903696,0.10526156866334307
Amite County,vap_black,pre_20_rep_tru,0.020039249137629018,0.011530412088740411,0.00500835947211344,0.049816656540854744
Amite County,vap_black,pre_20_dem_bid,0.979960750862371,0.01153041208874041,0.9501833434591452,0.9949916405278865
Amite County,vap_hisp,pre_20_rep_tru,0.7536711627462848,0.11562793681062972,0.46832244165970194,0.9232111061932354
Amite County,vap_hisp,pre_20_dem_bid,0.24632883725371518,0.11562793681062972,0.07678889380676446,0.531677558340298
Amite County,vap_oth,pre_20_rep_tru,0.5090337192128521,0.14558775718513078,0.23441692588958604,0.7863600216675019
Amite County,vap_oth,pre_20_dem_bid,0.4909662807871478,0.14558775718513078,0.2136399783324981,0.7655830741104137
Attala County,vap_white,uss_20_rep_hyd,0.9032822846869325,0.02637669425113467,0.8374738521660561,0.9422217883497016
Attala County,vap_white,uss_20_dem_esp,0.09671771531306751,0.026376694251134668,0.05777821165029846,0.16252614783394387
Attala County,vap_black,uss_20_rep_hyd,0.025367488717244997,0.015346638352364139,0.0056798818971994175,0.06515580301257713
Attala County,vap_black,uss_20_dem_esp,0.974632511282755,0.015346638352364139,0.9348441969874228,0.9943201181028006
Attala County,vap_hisp,uss_20_rep_hyd,0.6889774158205586,0.13627629909523237,0.35723662830376973,0.8977957005695707
Attala County,vap_hisp,uss_20_dem_esp,0.3110225841794414,0.13627629909523237,0.10220429943042927,0.6427633716962301
Attala County,vap_oth,uss_20_rep_hyd,0.34828782787386336,0.14781957856379438,0.11039028707774834,0.67414781300278
Attala County,vap_oth,uss_20_dem_esp,0.6517121721261365,0.14781957856379438,0.3258521869972198,0.8896097129222515
Benton County,vap_white,pre_16_rep_tru,0.9123496737530855,0.017112925319047283,0.8754680370310606,0.9409853542278891
Benton County,vap_white,pre_16_dem_cli,0.08765032624691452,0.017112925319047283,0.05901464577211095,0.12453196296893933
Benton County,vap_black,pre_16_rep_tru,0.2661817891759666,0.11471712146489042,0.08515935737484742,0.5247666460796991
Benton County,vap_black,pre_16_dem_cli,0.7338182108240334,0.11471712146489042,0.47523335392030086,0.9148406426251526
Benton County,vap_hisp,pre_16_rep_tru,0.4746052114204972,0.16771510909101528,0.15973671374156193,0.8040770753248387
Benton County,vap_hisp,pre_16_dem_cli,0.5253947885795028,0.16771510909101528,0.19592292467516123,0.8402632862584379
Benton County,vap_oth,pre_16_rep_tru,0.4875638710238029,0.16283985405540546,0.18574901162117702,0.8033118532381152
Benton County,vap_oth,pre_16_dem_cli,0.5124361289761972,0.16283985405540546,0.19668814676188465,0.8142509883788229
Bolivar County,vap_white,uss_18_rep_wic,0.9234688899461162,0.017299623555490914,0.8844644668822712,0.9518191202642787
Bolivar County,vap_white,uss_18_dem_bar,0.07653111005388377,0.017299623555490914,0.04818087973572135,0.1155355331177289
Bolivar County,vap_black,uss_18_rep_wic,0.2399315683908624,0.10928775139388772,0.07662022324863356,0.4967231581175608
Bolivar County,vap_black,uss_18_dem_bar,0.7600684316091376,0.10928775139388772,0.5032768418824389,0.9233797767513665
Bolivar County,vap_hisp,uss_18_rep_wic,0.41843941327547285,0.16777377142735747,0.12719095852955936,0.7645281596023312
Bolivar County,vap_hisp,uss_18_dem_bar,0.5815605867245273,0.16777377142735747,0.23547184039766883,0.8728090414704406
Bolivar County,vap_oth,uss_18_rep_wic,0.40173984255469186,0.1732697975774222,0.11517190490118386,0.7757927595180365
Bolivar County,vap_oth,uss_18_dem_bar,0.5982601574453081,0.1732697975774222,0.22420724048196336,0.8848280950988159
Calhoun County,vap_white,pre_20_rep_tru,0.9156623886783192,0.018370131685143374,0.8788479093698247,0.9476180045047525
Calhoun County,vap_white,pre_20_dem_bid,0.08433761132168088,0.018370131685143374,0.05238199549524756,0.12115209063017526
Calhoun County,vap_black,pre_20_rep_tru,0.2784283074485735,0.11968348272623541,0.0890401530437177,0.5442935625827329
Calhoun County,vap_black,pre_20_dem_bid,0.7215716925514265,0.11968348272623541,0.45570643741726696,0.9109598469562823
