county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Alamance County,vap_white,pre_16_rep_tru,0.748697864138046,0.023143506123720112,0.6924524282604604,0.7880667935334675
Alamance County,vap_white,pre_16_dem_cli,0.251302135861954,0.023143506123720112,0.21193320646653233,0.30754757173953945
Alamance County,vap_black,pre_16_rep_tru,0.12423748909597679,0.05328125208063038,0.04948270239629034,0.26434611147565534
Alamance County,vap_black,pre_16_dem_cli,0.8757625109040231,0.05328125208063038,0.7356538885243445,0.9505172976037096
Alamance County,vap_hisp,pre_16_rep_tru,0.16399120088871982,0.07460972862647063,0.05229280319210853,0.33320377531137746
Alamance County,vap_hisp,pre_16_dem_cli,0.8360087991112801,0.07460972862647063,0.6667962246886223,0.9477071968078914
Alamance County,vap_oth,pre_16_rep_tru,0.3991143039205752,0.16500160779426434,0.11839435476799905,0.742139528091108
Alamance County,vap_oth,pre_16_dem_cli,0.6008856960794248,0.16500160779426434,0.25786047190889183,0.881605645232001
Alexander County,vap_white,uss_16_rep_bur,0.7714568089446487,0.01902959039292336,0.7327127758894479,0.8070289434860736
Alexander County,vap_white,uss_16_dem_ros,0.22854319105535126,0.01902959039292336,0.19297105651392635,0.267287224110552
Alexander County,vap_black,uss_16_rep_bur,0.09701390655119281,0.041806250539470687,0.03361944934652697,0.1918771633061548
Alexander County,vap_black,uss_16_dem_ros,0.9029860934488071,0.041806250539470687,0.8081228366938451,0.966380550653473
Alexander County,vap_hisp,uss_16_rep_bur,0.1814555282684214,0.07475895801199169,0.06505416202248972,0.3529412722434695
Alexander County,vap_hisp,uss_16_dem_ros,0.8185444717315785,0.07475895801199169,0.6470587277565304,0.9349458379775102
Alexander County,vap_oth,uss_16_rep_bur,0.39081109921792373,0.1595038235702351,0.1255253226762184,0.7231576800320456
Alexander County,vap_oth,uss_16_dem_ros,0.6091889007820762,0.1595038235702351,0.27684231996795405,0.8744746773237815
Alleghany County,vap_white,gov_16_rep_mcc,0.7124735054104686,0.020219457735127323,0.6711651102897156,0.7493564502239813
Alleghany County,vap_white,gov_16_dem_coo,0.2875264945895314,0.020219457735127323,0.2506435497760187,0.32883488971028424
Alleghany County,vap_black,gov_16_rep_mcc,0.10142793515880774,0.049012882091071554,0.030435027927600593,0.20582016799342517
Alleghany County,vap_black,gov_16_dem_coo,0.8985720648411922,0.049012882091071554,0.7941798320065748,0.9695649720723993
Alleghany County,vap_hisp,gov_16_rep_mcc,0.17951059309679662,0.07202404233847834,0.06602449346383442,0.3381014791985466
Alleghany County,vap_hisp,gov_16_dem_coo,0.8204894069032033,0.07202404233847834,0.6618985208014532,0.9339755065361655
Alleghany County,vap_oth,gov_16_rep_mcc,0.4206287998565823,0.16287508868495695,0.1459764531609664,0.7811366476177544
Alleghany County,vap_oth,gov_16_dem_coo,0.5793712001434177,0.16287508868495695,0.21886335238224544,0.8540235468390336
Anson County,vap_white,atg_16_rep_new,0.7142952045818078,0.020609084705159476,0.6708915101231935,0.7508640085841668
Anson County,vap_white,atg_16_dem_ste,0.28570479541819216,0.020609084705159476,0.24913599141583317,0.32910848987680646
Anson County,vap_black,atg_16_rep_new,0.10918043956143086,0.04791258969839754,0.03996836582005281,0.2310446940677371
Anson County,vap_black,atg_16_dem_ste,0.8908195604385691,0.04791258969839754,0.7689553059322628,0.9600316341799471
Anson County,vap_hisp,atg_16_rep_new,0.1743957868761625,0.07032964727491485,0.0674065023618611,0.33785572097980604
Anson County,vap_hisp,atg_16_dem_ste,0.8256042131238375,0.07032964727491485,0.6621442790201939,0.9325934976381387
Anson County,vap_oth,atg_16_rep_new,0.3972440019022266,0.16366934293860502,0.12368495263348185,0.7493191875845565
Anson County,vap_oth,atg_16_dem_ste,0.6027559980977734,0.16366934293860502,0.25068081241544343,0.8763150473665181
Ashe County,vap_white,sos_16_rep_lap,0.6835059569561127,0.02001372732366678,0.6402115158168253,0.7175911665961449
Ashe County,vap_white,sos_16_dem_mar,0.31649404304388723,0.02001372732366678,0.28240883340385514,0.35978848418317455
Ashe County,vap_black,sos_16_rep_lap,0.11008433663770037,0.04416917892152203,0.040848488637826294,0.21179916550744166
Ashe County,vap_black,sos_16_dem_mar,0.8899156633622995,0.04416917892152203,0.7882008344925583,0.9591515113621736
Ashe County,vap_hisp,sos_16_rep_lap,0.1624161362482612,0.06359080752595558,0.06417166260704336,0.30598440603159494
Ashe County,vap_hisp,sos_16_dem_mar,0.8375838637517388,0.06359080752595558,0.6940155939684048,0.9358283373929566
Ashe County,vap_oth,sos_16_rep_lap,0.41926639637452984,0.16871081726364698,0.1398191773831987,0.7933628628844163
Ashe County,vap_oth,sos_16_dem_mar,0.5807336036254701,0.16871081726364698,0.20663713711558368,0.8601808226168012
Avery County,vap_white,pre_20_rep_tru,0.7135513995786221,0.019782089113953263,0.6736835717374288,0.7521796689020753
Avery County,vap_white,pre_20_dem_bid,0.2864486004213778,0.019782089113953263,0.2478203310979246,0.3263164282625712
Avery County,vap_black,pre_20_rep_tru,0.11679393458523062,0.047342812183484934,0.044832210810337864,0.23056764883152164
Avery County,vap_black,pre_20_dem_bid,0.8832060654147693,0.047342812183484934,0.7694323511684783,0.9551677891896622
Avery County,vap_hisp,pre_20_rep_tru,0.1909422638091427,0.0742795892442012,0.07735117978622673,0.36271386341544487
Avery County,vap_hisp,pre_20_dem_bid,0.8090577361908572,0.0742795892442012,0.6372861365845551,0.9226488202137734
Avery County,vap_oth,pre_20_rep_tru,0.40592198088985726,0.15636266189039646,0.1325814236376064,0.7202148843201669
Avery County,vap_oth,pre_20_dem_bid,0.5940780191101427,0.15636266189039646,0.279785115679833,0.8674185763623936
Beaufort County,vap_white,uss_20_rep_til,0.7123823949087321,0.02012234153718539,0.6699919121184125,0.7478216288917527
Beaufort County,vap_white,uss_20_dem_cun,0.2876176050912678,0.02012234153718539,0.25217837110824737,0.3300080878815875
Beaufort County,vap_black,uss_20_rep_til,0.11013779309436428,0.05118635942696574,0.03685631418843526,0.22833946580271638
Beaufort County,vap_black,uss_20_dem_cun,0.8898622069056357,0.05118635942696574,0.7716605341972834,0.9631436858115646
Beaufort County,vap_hisp,uss_20_rep_til,0.16329568884235518,0.06981811791891405,0.05844123958349451,0.3274759611363163
Beaufort County,vap_hisp,uss_20_dem_cun,0.8367043111576448,0.06981811791891407,0.6725240388636837,0.9415587604165054
Beaufort County,vap_oth,uss_20_rep_til,0.39739519650042865,0.14946486726601282,0.15808839079047934,0.7085820568003608
Beaufort County,vap_oth,uss_20_dem_cun,0.6026048034995714,0.14946486726601282,0.2914179431996391,0.8419116092095205
Bertie County,vap_white,gov_20_rep_for,0.6602465996602201,0.020957468630455695,0.6197397531736103,0.699242218553282
Bertie County,vap_white,gov_20_dem_coo,0.3397534003397798,0.020957468630455695,0.3007577814467181,0.38026024682638954
Bertie County,vap_black,gov_20_rep_for,0.10731534322688555,0.04665911217171511,0.0379371659394687,0.216053094070102
Bertie County,vap_black,gov_20_dem_coo,0.8926846567731144,0.04665911217171511,0.7839469059298976,0.9620628340605313
Bertie County,vap_hisp,gov_20_rep_for,0.17377376534107336,0.07377923272616124,0.060240816825373265,0.3417349370528666
Bertie County,vap_hisp,gov_20_dem_coo,0.8262262346589265,0.07377923272616124,0.6582650629471335,0.9397591831746267
Bertie County,vap_oth,gov_20_rep_for,0.3998239599707956,0.15497764643911746,0.13656992743346139,0.7183506739671796
Bertie County,vap_oth,gov_20_dem_coo,0.6001760400292043,0.15497764643911746,0.28164932603282045,0.8634300725665385
Bladen County,vap_white,atg_20_rep_one,0.6968041942347483,0.02314488603652955,0.6467584993277792,0.7384658296312481
Bladen County,vap_white,atg_20_dem_ste,0.3031958057652517,0.02314488603652955,0.26153417036875193,0.3532415006722209
Bladen County,vap_black,atg_20_rep_one,0.10368140387518268,0.04931280093770478,0.03405416718524691,0.22561032196749842
Bladen County,vap_black,atg_20_dem_ste,0.8963185961248172,0.04931280093770478,0.7743896780325015,0.965945832814753
Bladen County,vap_hisp,atg_20_rep_one,0.18631385346081147,0.07722250169441554,0.06733463498050087,0.3610475188936838
Bladen County,vap_hisp,atg_20_dem_ste,0.8136861465391885,0.07722250169441554,0.638952481106316,0.9326653650194989
Bladen County,vap_oth,atg_20_rep_one,0.37788680511119593,0.16209496617947738,0.133287236357514,0.7388286537263701
Bladen County,vap_oth,atg_20_dem_ste,0.622113194888804,0.16209496617947738,0.26117134627362965,0.866712763642486
Brunswick County,vap_white,sos_20_rep_syk,0.6860205656984327,0.023310606468250363,0.6335405130842566,0.7278723647906462
Brunswick County,vap_white,sos_20_dem_mar,0.3139794343015672,0.023310606468250363,0.2721276352093539,0.36645948691574326
Brunswick County,vap_black,sos_20_rep_syk,0.11506026055487628,0.05550962971031249,0.033188960938229366,0.2448259036394011
Brunswick County,vap_black,sos_20_dem_mar,0.8849397394451237,0.05550962971031249,0.7551740963605987,0.9668110390617706
Brunswick County,vap_hisp,sos_20_rep_syk,0.1585903560856711,0.0749698250853189,0.03957004638791798,0.323707210294586
Brunswick County,vap_hisp,sos_20_dem_mar,0.8414096439143288,0.0749698250853189,0.6762927897054138,0.9604299536120819
Brunswick County,vap_oth,sos_20_rep_syk,0.3739772419815791,0.17200605468778532,0.09883648657874358,0.768681773941849
Brunswick County,vap_oth,sos_20_dem_mar,0.6260227580184209,0.17200605468778532,0.231318226058151,0.9011635134212564
Buncombe County,vap_white,pre_16_rep_tru,0.8341799125207446,0.01587840091171541,0.8027999074209813,0.8649855315344601
Buncombe County,vap_white,pre_16_dem_cli,0.1658200874792555,0.01587840091171541,0.13501446846554002,0.19720009257901883
