county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Anderson County,vap_white,pre_16_rep_tru,0.9612991881130756,0.015248511168360842,0.926429901956776,0.9852385108001722
Anderson County,vap_white,pre_16_dem_cli,0.03870081188692435,0.015248511168360842,0.014761489199827883,0.07357009804322401
Anderson County,vap_black,pre_16_rep_tru,0.41129150715410906,0.08442921303118599,0.26802077667606583,0.6010122886011459
Anderson County,vap_black,pre_16_dem_cli,0.5887084928458909,0.08442921303118599,0.39898771139885414,0.7319792233239341
Anderson County,vap_hisp,pre_16_rep_tru,0.4126594110016334,0.087889418953291,0.25629013526892835,0.6021059404438475
Anderson County,vap_hisp,pre_16_dem_cli,0.5873405889983665,0.087889418953291,0.3978940595561526,0.7437098647310716
Anderson County,vap_oth,pre_16_rep_tru,0.4117702689557345,0.149691427557767,0.1581503701136908,0.7386421795702359
Anderson County,vap_oth,pre_16_dem_cli,0.5882297310442656,0.14969142755776696,0.261357820429764,0.8418496298863093
Andrews County,vap_white,uss_18_rep_cru,0.9424062664240607,0.019751129673907814,0.8978513917698698,0.9745604656957831
Andrews County,vap_white,uss_18_dem_oro,0.057593733575939304,0.019751129673907814,0.0254395343042169,0.10214860823013013
Andrews County,vap_black,uss_18_rep_cru,0.40514477410375416,0.08810171093611868,0.25419242048845403,0.6031338076030175
Andrews County,vap_black,uss_18_dem_oro,0.5948552258962458,0.08810171093611868,0.3968661923969825,0.7458075795115459
Andrews County,vap_hisp,uss_18_rep_cru,0.3758830149319128,0.08994393353173549,0.20697836296111094,0.5566757442243341
Andrews County,vap_hisp,uss_18_dem_oro,0.6241169850680872,0.08994393353173549,0.4433242557756657,0.7930216370388891
Andrews County,vap_oth,uss_18_rep_cru,0.38352776095465163,0.1573757747913143,0.12144089933954473,0.7240002355765419
Andrews County,vap_oth,uss_18_dem_oro,0.6164722390453484,0.1573757747913143,0.27599976442345775,0.8785591006604552
Angelina County,vap_white,gov_18_rep_abb,0.9611722488842456,0.01668773317813403,0.9244767732185926,0.988122185299591
Angelina County,vap_white,gov_18_dem_val,0.03882775111575439,0.01668773317813403,0.011877814700409097,0.07552322678140745
Angelina County,vap_black,gov_18_rep_abb,0.4096652336098001,0.08594728357488371,0.25893379260571664,0.5924933000560229
Angelina County,vap_black,gov_18_dem_val,0.5903347663901999,0.08594728357488371,0.4075066999439772,0.7410662073942833
Angelina County,vap_hisp,gov_18_rep_abb,0.4657696389376916,0.09074827762365215,0.29643023813661973,0.647613752447716
Angelina County,vap_hisp,gov_18_dem_val,0.5342303610623084,0.09074827762365215,0.3523862475522838,0.7035697618633802
Angelina County,vap_oth,gov_18_rep_abb,0.4476349017715678,0.1480808754393614,0.17585338792711053,0.7427619116240123
Angelina County,vap_oth,gov_18_dem_val,0.5523650982284323,0.1480808754393614,0.25723808837598783,0.8241466120728895
Aransas County,vap_white,atg_18_rep_pax,0.9402394745587448,0.01864314494339307,0.8984748676677206,0.971650992106197
