county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Beaver County,vap_white,pre_16_rep_tru,0.8871694974953307,0.021533570306150024,0.8445132851023107,0.928142569344323
Beaver County,vap_white,pre_16_dem_cli,0.11283050250466921,0.021533570306150024,0.07185743065567682,0.15548671489768906
Beaver County,vap_black,pre_16_rep_tru,0.5017572885659954,0.27393371652857196,0.02433807234254262,0.9784020463225167
Beaver County,vap_black,pre_16_dem_cli,0.4982427114340046,0.27393371652857196,0.021597953677483295,0.9756619276574573
Beaver County,vap_hisp,pre_16_rep_tru,0.674827196703437,0.11204701471938269,0.4536490469480787,0.885770821130059
Beaver County,vap_hisp,pre_16_dem_cli,0.325172803296563,0.11204701471938269,0.11422917886994098,0.5463509530519214
Beaver County,vap_oth,pre_16_rep_tru,0.6927132199922492,0.09393316408598133,0.5009578805876963,0.8732929885782788
Beaver County,vap_oth,pre_16_dem_cli,0.3072867800077508,0.09393316408598133,0.12670701142172128,0.4990421194123036
Box Elder County,vap_white,uss_16_rep_lee,0.8821495573231711,0.020745360727346496,0.8401729668862036,0.9208641785761527
Box Elder County,vap_white,uss_16_dem_sno,0.11785044267682876,0.0207453607273465,0.0791358214238473,0.15982703311379637
Box Elder County,vap_black,uss_16_rep_lee,0.516557989551313,0.27033160673918005,0.035687137949136166,0.9759985182131563
Box Elder County,vap_black,uss_16_dem_sno,0.483442010448687,0.27033160673918005,0.024001481786843613,0.9643128620508638
Box Elder County,vap_hisp,uss_16_rep_lee,0.6884817923557628,0.10621074177126151,0.4817164374663378,0.8876895209650606
Box Elder County,vap_hisp,uss_16_dem_sno,0.3115182076442373,0.10621074177126151,0.11231047903493942,0.5182835625336623
Box Elder County,vap_oth,uss_16_rep_lee,0.7275726428962016,0.08708167659824854,0.5549890817784564,0.8996694584734665
Box Elder County,vap_oth,uss_16_dem_sno,0.2724273571037984,0.08708167659824854,0.10033054152653344,0.4450109182215436
Cache County,vap_white,gov_16_rep_her,0.8680289776212414,0.021611230555493584,0.8250449662241399,0.9088003190949692
Cache County,vap_white,gov_16_dem_wei,0.13197102237875852,0.021611230555493584,0.09119968090503083,0.17495503377586
Cache County,vap_black,gov_16_rep_her,0.5066875360434784,0.2681164605140107,0.03636519558892037,0.9683832347756415
Cache County,vap_black,gov_16_dem_wei,0.4933124639565217,0.2681164605140107,0.03161676522435835,0.9636348044110796
Cache County,vap_hisp,gov_16_rep_her,0.6569403283229609,0.11069657908817833,0.4420677658739028,0.866734172538184
Cache County,vap_hisp,gov_16_dem_wei,0.3430596716770392,0.11069657908817833,0.1332658274618162,0.5579322341260973
Cache County,vap_oth,gov_16_rep_her,0.6791430076397565,0.0934540473535285,0.493431280546,0.8632496610710476
Cache County,vap_oth,gov_16_dem_wei,0.32085699236024345,0.0934540473535285,0.13675033892895236,0.506568719454
Carbon County,vap_white,atg_16_rep_rey,0.8734816566871997,0.021823934588913598,0.8294062054052567,0.9138475123521834
Carbon County,vap_white,atg_16_dem_har,0.12651834331280024,0.021823934588913598,0.08615248764781641,0.1705937945947432
Carbon County,vap_black,atg_16_rep_rey,0.5134439119916909,0.2712820098106859,0.032488819318772656,0.9753118126091392
Carbon County,vap_black,atg_16_dem_har,0.486556088008309,0.2712820098106859,0.024688187390860768,0.9675111806812273
Carbon County,vap_hisp,atg_16_rep_rey,0.6266772718579929,0.11436438818824511,0.40317501646176096,0.8511865160570621
Carbon County,vap_hisp,atg_16_dem_har,0.3733227281420072,0.11436438818824511,0.14881348394293803,0.5968249835382391
Carbon County,vap_oth,atg_16_rep_rey,0.6685732465867597,0.09884436104632836,0.4682272409348292,0.860202674962927
Carbon County,vap_oth,atg_16_dem_har,0.33142675341324035,0.09884436104632835,0.13979732503707273,0.5317727590651707
Daggett County,vap_white,uss_18_rep_rom,0.855894993179778,0.02456280235584959,0.8055360410367565,0.9013926057819365
Daggett County,vap_white,uss_18_dem_wil,0.14410500682022187,0.02456280235584959,0.09860739421806353,0.19446395896324342
Daggett County,vap_black,uss_18_rep_rom,0.5049500632419005,0.27177137118531747,0.03265535433738271,0.9743011783155032
Daggett County,vap_black,uss_18_dem_wil,0.4950499367580995,0.27177137118531747,0.0256988216844968,0.9673446456626171
Daggett County,vap_hisp,uss_18_rep_rom,0.605110973372589,0.1188241422868057,0.37573129091593144,0.8362802845952999
Daggett County,vap_hisp,uss_18_dem_wil,0.39488902662741104,0.1188241422868057,0.16371971540470034,0.6242687090840686
Daggett County,vap_oth,uss_18_rep_rom,0.6797809101251137,0.10379309209517631,0.4757005506359078,0.882276431631499
Daggett County,vap_oth,uss_18_dem_wil,0.32021908987488634,0.10379309209517631,0.11772356836850094,0.524299449364092
Davis County,vap_white,pre_20_rep_tru,0.9019830813518387,0.018373146631679705,0.8647339661672895,0.9356958557132344
Davis County,vap_white,pre_20_dem_bid,0.09801691864816121,0.018373146631679705,0.06430414428676558,0.1352660338327105
Davis County,vap_black,pre_20_rep_tru,0.5102630690777317,0.2679868879157205,0.036252867008552625,0.9728605763638749
Davis County,vap_black,pre_20_dem_bid,0.48973693092226833,0.2679868879157205,0.027139423636125082,0.9637471329914473
Davis County,vap_hisp,pre_20_rep_tru,0.6655222435726038,0.09836463755082667,0.475423805529314,0.8542700581855712
Davis County,vap_hisp,pre_20_dem_bid,0.33447775642739624,0.09836463755082667,0.14572994181442875,0.524576194470686
Davis County,vap_oth,pre_20_rep_tru,0.6991035649839179,0.08093698782137809,0.5426612962946424,0.8594892495676968
Davis County,vap_oth,pre_20_dem_bid,0.3008964350160821,0.08093698782137809,0.14051075043230307,0.45733870370535756
Duchesne County,vap_white,gov_20_rep_cox,0.9083326384157737,0.01830562118397005,0.8704902653859361,0.9413700700898049
Duchesne County,vap_white,gov_20_dem_pet,0.0916673615842262,0.01830562118397005,0.05862992991019505,0.12950973461406376
Duchesne County,vap_black,gov_20_rep_cox,0.5067717811312489,0.2747494327093007,0.02779901994047148,0.9759078368583238
Duchesne County,vap_black,gov_20_dem_pet,0.4932282188687512,0.2747494327093007,0.024092163141676202,0.9722009800595284
Duchesne County,vap_hisp,gov_20_rep_cox,0.6657988614149494,0.09173637614762854,0.494908116803749,0.8498607000122549
Duchesne County,vap_hisp,gov_20_dem_pet,0.3342011385850507,0.09173637614762854,0.15013929998774517,0.5050918831962511
Duchesne County,vap_oth,gov_20_rep_cox,0.73099921414853,0.08330086959370617,0.5681964032599263,0.8960691630269109
Duchesne County,vap_oth,gov_20_dem_pet,0.2690007858514701,0.08330086959370617,0.10393083697308914,0.4318035967400739
Emery County,vap_white,atg_20_rep_rey,0.892072358096808,0.020031990590752103,0.8513692125797008,0.9294141089142672
Emery County,vap_white,atg_20_dem_sko,0.10792764190319196,0.020031990590752103,0.07058589108573272,0.14863078742029917
Emery County,vap_black,atg_20_rep_rey,0.4900433728112667,0.27068260305882164,0.023457485871426143,0.9620089950483722
Emery County,vap_black,atg_20_dem_sko,0.5099566271887334,0.27068260305882164,0.03799100495162767,0.9765425141285738
Emery County,vap_hisp,atg_20_rep_rey,0.6355359191463559,0.10730494461365282,0.4329447533526967,0.8436846425853372
Emery County,vap_hisp,atg_20_dem_sko,0.3644640808536442,0.10730494461365282,0.15631535741466282,0.5670552466473032
Emery County,vap_oth,atg_20_rep_rey,0.7159190866754963,0.08097608887435208,0.5547561342425086,0.8722629029320113
Emery County,vap_oth,atg_20_dem_sko,0.28408091332450364,0.08097608887435208,0.12773709706798886,0.44524386575749136
Garfield County,vap_white,pre_16_rep_tru,0.9027684844746429,0.010732949489081932,0.88074100665664945,0.9224228052145087
Garfield County,vap_white,pre_16_dem_cli,0.09723151552535714,0.010732949489081932,0.07757719478549126,0.11925899334335055
Garfield County,vap_black,pre_16_rep_tru,0.47118189123493653,0.1742541321363279,0.15477672034259854,0.7931199724869812
Garfield County,vap_black,pre_16_dem_cli,0.5288181087650634,0.1742541321363279,0.20688002751301862,0.8452232796574014
Garfield County,vap_hisp,pre_16_rep_tru,0.4264807134759111,0.10957454561865894,0.23907842353322237,0.6525714098940432
Garfield County,vap_hisp,pre_16_dem_cli,0.5735192865240888,0.10957454561865894,0.34742859010595667,0.7609215764667777
Garfield County,vap_oth,pre_16_rep_tru,0.6823301151555857,0.09642915792176818,0.49187299346985014,0.8585908285797597
Garfield County,vap_oth,pre_16_dem_cli,0.3176698848444142,0.09642915792176818,0.14140917142024043,0.5081270065301499
Grand County,vap_white,uss_16_rep_lee,0.9377225761742171,0.010023533729014463,0.9168374167109536,0.9556977695571603
Grand County,vap_white,uss_16_dem_sno,0.062277423825782864,0.010023533729014463,0.0443022304428396,0.0831625832890463
Grand County,vap_black,uss_16_rep_lee,0.4698711370180874,0.17967115977554413,0.1453084909757465,0.7940767582270055
Grand County,vap_black,uss_16_dem_sno,0.5301288629819125,0.17967115977554413,0.20592324177299443,0.8546915090242532
Grand County,vap_hisp,uss_16_rep_lee,0.3940532943624962,0.09487862626335752,0.2266034167169418,0.6031655455923399
Grand County,vap_hisp,uss_16_dem_sno,0.6059467056375037,0.09487862626335752,0.39683445440765985,0.7733965832830583
Grand County,vap_oth,uss_16_rep_lee,0.6657023646014156,0.10182693165517821,0.46506112569534797,0.8545536792340553
Grand County,vap_oth,uss_16_dem_sno,0.3342976353985844,0.10182693165517821,0.14544632076594466,0.5349388743046518
Iron County,vap_white,gov_16_rep_her,0.9206057426940146,0.01038147754282829,0.8983888789443681,0.9390856095768013
Iron County,vap_white,gov_16_dem_wei,0.07939425730598536,0.01038147754282829,0.06091439042319867,0.10161112105563193
Iron County,vap_black,gov_16_rep_her,0.4691727581485256,0.15847566140192473,0.18463575478897004,0.7832225744116897
Iron County,vap_black,gov_16_dem_wei,0.5308272418514743,0.15847566140192473,0.21677742558831012,0.8153642452110299
Iron County,vap_hisp,gov_16_rep_her,0.4252975752018819,0.11017948131850475,0.2279726663868564,0.6630986938285633
Iron County,vap_hisp,gov_16_dem_wei,0.5747024247981181,0.11017948131850475,0.3369013061714365,0.7720273336131436
Iron County,vap_oth,gov_16_rep_her,0.6489639040821567,0.1013746943293046,0.44456957649454393,0.8300085584694095
Iron County,vap_oth,gov_16_dem_wei,0.3510360959178434,0.1013746943293046,0.16999144153059045,0.5554304235054561
Juab County,vap_white,atg_16_rep_rey,0.9224991125979289,0.010312542817066986,0.9013893463504111,0.9417780893173364
Juab County,vap_white,atg_16_dem_har,0.077500887402071,0.010312542817066986,0.058221910682663504,0.09861065364958892
Juab County,vap_black,atg_16_rep_rey,0.48174427544969534,0.17179906769979122,0.17236442465299143,0.816032815896795
Juab County,vap_black,atg_16_dem_har,0.5182557245503047,0.17179906769979122,0.18396718410320478,0.8276355753470085
Juab County,vap_hisp,atg_16_rep_rey,0.3803823916757661,0.11114980882794706,0.17053869932476806,0.6216079071308661
Juab County,vap_hisp,atg_16_dem_har,0.6196176083242338,0.11114980882794706,0.3783920928691337,0.8294613006752318
Juab County,vap_oth,atg_16_rep_rey,0.644421808898984,0.10630655457142954,0.42777983428846733,0.8475444495081219
Juab County,vap_oth,atg_16_dem_har,0.355578191101016,0.10630655457142954,0.15245555049187803,0.5722201657115327
Kane County,vap_white,uss_18_rep_rom,0.9099605148380142,0.00955478625863154,0.8911632042624124,0.9285050518358915
Kane County,vap_white,uss_18_dem_wil,0.09003948516198577,0.00955478625863154,0.07149494816410852,0.10883679573758759
Kane County,vap_black,uss_18_rep_rom,0.5114226153049299,0.15616053426762286,0.1942099212008614,0.7941545090924514
Kane County,vap_black,uss_18_dem_wil,0.48857738469506995,0.15616053426762286,0.20584549090754825,0.8057900787991384
Kane County,vap_hisp,uss_18_rep_rom,0.39807231103135493,0.10135535049325524,0.2146393600598498,0.5928888163162924
Kane County,vap_hisp,uss_18_dem_wil,0.601927688968645,0.10135535049325524,0.4071111836837076,0.7853606399401502
Kane County,vap_oth,uss_18_rep_rom,0.6739300934472525,0.1051756535718977,0.4462013581000315,0.857310998420741
Kane County,vap_oth,uss_18_dem_wil,0.3260699065527475,0.1051756535718977,0.14268900157925893,0.5537986418999685
Millard County,vap_white,pre_20_rep_tru,0.886653208247171,0.010039155856694121,0.8657040998107887,0.9052750621524553
Millard County,vap_white,pre_20_dem_bid,0.11334679175282894,0.010039155856694121,0.0947249378475447,0.13429590018921136
Millard County,vap_black,pre_20_rep_tru,0.451655940411711,0.18378537502694753,0.12548678944604488,0.8022281361046872
Millard County,vap_black,pre_20_dem_bid,0.5483440595882889,0.18378537502694753,0.19777186389531265,0.874513210553955
Millard County,vap_hisp,pre_20_rep_tru,0.47361528807774717,0.11720124059299775,0.2609309932049177,0.7284597961057232
Millard County,vap_hisp,pre_20_dem_bid,0.5263847119222528,0.11720124059299775,0.2715402038942767,0.7390690067950821
Millard County,vap_oth,pre_20_rep_tru,0.7626789379513861,0.09067750834540321,0.5684852212940387,0.91109080925325725
